location,state,latitude,longitude,date,rainfall_mm,prev_24h_rainfall_mm,prev_48h_rainfall_mm,river_level_m,soil_moisture_percent,terrain_elevation_m,distance_to_river_km,drainage_capacity_percent,historical_flood_count,population_density,urban_area_percent,water_depth_m,population_affected,economic_loss_million,severity_level,risk_score
Gwalior,Madhya Pradesh,26.277609,78.119487,2023-03-13,36.96,20.59,27.53,4.88,37.5,51.18,0.73,86.97,1,356,95.68,0.77,20,0.07,Low,18.46
Patna,Bihar,25.655779,85.098523,2024-07-18,48.63,38.06,51.1,1.82,33.48,27.61,1.11,64.31,4,1253,76.41,0.43,64,0.07,Low,14.76
Mumbai,Maharashtra,19.015743,72.778804,2023-05-19,190.4,142.39,183.71,8.94,60.19,128.12,3.79,48.8,4,169,81.63,3.39,67,0.72,High,60.63
Rajkot,Gujarat,22.24966,70.717596,2024-11-29,41.41,18.0,21.56,5.46,27.23,35.63,1.08,43.04,3,73,85.26,0.34,13,0.01,Low,19.68
Kanpur,Uttar Pradesh,26.400256,80.33135,2023-04-23,328.22,212.65,306.93,6.8,98.01,21.0,1.51,97.25,3,1001,81.65,4.49,1773,19.07,Critical,76.26
Ahmedabad,Gujarat,22.957373,72.609588,2024-10-01,100.0,78.68,95.48,6.67,42.06,20.57,0.52,46.32,6,1487,56.51,1.63,827,2.29,Medium,39.05
Chennai,Tamil Nadu,13.03015,80.23578,2025-07-04,165.49,88.53,107.29,4.06,83.71,23.91,7.72,72.96,4,6274,79.48,3.5,7036,78.97,High,64.83
Vasai,Maharashtra,19.553924,72.876002,2023-07-10,41.92,24.71,31.51,1.1,12.17,29.03,0.7,70.88,3,38478,70.29,0.46,6154,12.36,Low,21.72
Ranchi,Jharkhand,23.29415,85.217367,2025-02-21,43.74,25.13,34.83,3.53,16.04,352.23,2.59,21.91,1,3010,84.24,0.41,1183,1.55,Low,5.6
Ranchi,Jharkhand,23.390108,85.219143,2023-06-03,65.42,32.32,43.87,5.28,0.67,33.16,1.14,93.79,5,1632,56.82,0.7,443,1.5,Low,32.58
Jaipur,Rajasthan,26.853737,75.742092,2023-01-12,86.34,44.42,62.2,3.3,31.37,151.08,2.39,67.85,2,30,50.18,0.21,8,0.01,Low,20.55
Ranchi,Jharkhand,23.303627,85.229597,2024-09-03,70.5,26.19,36.79,4.82,53.22,172.74,0.69,90.36,2,1276,72.07,0.97,289,0.36,Medium,36.18
Bareilly,Uttar Pradesh,28.445379,75.331921,2023-01-29,126.19,74.67,110.87,8.08,38.05,70.3,1.63,74.66,0,280,68.29,1.29,152,0.95,Medium,44.75
Raipur,Chhattisgarh,21.34698,81.640801,2025-03-25,45.93,21.89,29.2,4.42,33.92,86.89,1.99,27.22,1,878,89.88,1.17,342,1.26,Low,15.78
Srinagar,Jammu and Kashmir,34.065941,74.817856,2025-01-21,54.08,42.02,56.41,3.33,30.08,66.41,8.73,83.82,4,1108,78.65,0.84,211,0.26,Low,14.29
Nashik,Maharashtra,19.997133,73.785042,2025-02-09,24.45,13.62,19.25,5.19,22.4,163.1,0.06,48.34,1,9107,36.86,0.78,3908,4.87,Low,18.97
Bhopal,Madhya Pradesh,23.258323,77.364249,2025-09-10,73.47,35.12,51.19,2.69,16.5,157.41,1.23,13.57,6,400,80.83,0.46,33,0.04,Low,17.29
